#page	num	CH	OJ	OC	LH	EMC	LMC	GO	KN	NOM	SV	SK	LH
125	253	寸	ki	*tshûns	tshuənh	tshwən		sumu	son	thốn, són, xốn	thốn	chwon	tshuənh
125	254	杵	ki	*thaʔ	tśhɑʔ	tɕhuə		siyo	siyo	ngó, ngõ, ngỏ	chử	cye	tśhɑʔ
126	255	己	ko	*kəʔ	kɨəʔ	kɨ		ko	ki	kỷ	kỷ, kỉ	ki	kɨəʔ
127	256	許	ko	*sŋaʔ	hɨɑ	xɨə		ko	ki	hưá, hớ, hử, hữ	hưá	he, hwo	hɨɑ
128	257	既	ko	*kəts	kɨs > kɨj	kɨj		ke	ki	---	ký, kí	kuy	kɨs > kɨj
129	258	去	ko	*khah	khɨɑh	khɨə		ko	kio	khứ, khử	khứ, khử	ke	khɨɑh
129	259	巨	ko	*ɡwaʔ	ɡɨɑʔ or ɡyaʔ	ɡɨə		go	kio	cự, cựa	cự	ke	ɡɨɑʔ or ɡyaʔ
130	260	居	ko	*ka	kɨɑ(h)	kɨə		ko	kio	cư	cư	ke, kuy	kɨɑ(h)
131	261	虚	ko	*ha	hɨɑ	xjwo		ko	kio	hư, hơ	hư	he	hɨɑ
131	262	忌	ko	*ɡəh	ɡɨəh	ɡɨ		gi	ki	kỵ, cữ, kiêng	kỵ, kị	kuy	ɡɨəh
132	263	擧	ko	*kaʔ	kɨɑʔ	kɨə		ko	kio	cử, cỡ, cở	cử	ke	kɨɑʔ
132	264	莒	ko	*kaʔ	kɨɑʔ	kɨə	kyə	ko	kio	---	cứ, cữ, cử	ke	kɨɑʔ
133	265	據	ko	*kah	kɨɑh	kɨə	kyə	ko	kio	cớ, cứ	cứ	ke	kɨɑh
133	266	渠	ko	*ɡa	ɡɨɑ	ɡɨə	kɦiə	go	kio	cừ, gừa, khờ	cừ	ke	ɡɨɑ
133	267	木	ko	*môk	mok	məwk		moku	moku	mộc, mọc, mốc	mộc	mok	mok
134	268	興	ko, kogo	*həŋ	hɨŋ	xiŋ		gou	kiou	hăng, hứng	hưng, hứng	hung	hɨŋ
134	269	極	koko, kogo	*ɡək	ɡɨk	ɡik		goku	kioku	cực	cực	kuk	ɡɨk
134	270	今	komu	*kəm	kɨm	kim		komu	kimu	kim	kim	kum	kɨm
135	271	金	komu	*kəm	kɨm	kim		komu, gomu	kimu	kim, ghim, găm	kim	kum	kɨm
135	272	感	komu	*kə	kəmʔ	kəm		komu	kamu	cảm	cảm	kam	kəmʔ
135	273	紺	komu	*k̂ms	kəmh	kəm		komu	kamu	---	cám	kam	kəmh
135	274	侶	kono	*ɡənʔ	ɡɨnʔ	ɡɨn		kon, gon	kin	cận, gần	cận	kun	ɡɨnʔ
136	275	乞	koti	*khət	khɨt	khɨt		koti	kotu	khất, khắt, gất	khất	kel, kul, kuy	khɨt
136	276	久	ku	*kwəʔ	kuʔ > kɨu	kuw		ku	kiu	cửu	cửu	kwu	kuʔ > kɨu
137	277	跪	ku	*ɡoiʔ or *khoiʔ	ɡyaiʔ or khyaiʔ	ɡwiə		guwi	kuwi	quì	quị	kwey	ɡyaiʔ or khyaiʔ
138	278	垝	ku	*kwaiʔ	kyaiʔ	kjwieʔ		kuwi	kuwi	---	cù	kwey	kyaiʔ
138	279	苦	ku	*khâʔ or *khâh	khɑʔ or khah	k		ku	ko	khổ, khó, cỏ	khổ	kwo	khɑʔ or khah
139	280	句	ku	*kô	ko	kəw		ku	kou	cú, câu	cú, câu	kwu	ko
140	281	玖	ku	*kwəʔ	ku > kɨu	kuw		ku	kiu	---	cửu	kwu	ku > kɨu
141	282	口	ku	*khôʔ	khoʔ	khəw		ku	kou	khẩu	khẩu	kwu	khoʔ
141	283	群	ku, kuru	*ɡun	ɡun	ɡun		gumu	kun	quần, quằn	quần	kun	ɡun
141	284	丘	ku	*khwə	khu	khuw		ku	kiu	kheo	khưu, khíu, vưu	kwu	khu
142	285	九	ku	*kuʔ	kuʔ	kuw		ku	kiu	cûu	cûu	kwu	kuʔ
142	286	鳩	ku	*ku	ku	kuw		ku	kiu	cưu	cưu	kwu	ku
142	287	孔	ku, kugu	*khôŋʔ	khoŋʔ	khəwŋ		kuu	kou	khổng	khổng	kwong	khoŋʔ
143	288	倶	ku	*ko	kɨo	kuə	kyə	gu	ku	gù	câu, cu	kwu	kɨo
143	289	區	ku	*kho	khuo	khuə	khyə	ku	ku	khu, khù	khu	kwu	khuo
144	290	矩	ku	*kwaʔ	kyɑʔ	kuə	kyə	ku	ku	củ	củ	kwu	kyɑʔ
144	291	絇	ku	*ɡo	ɡɨo	ɡuə	kɦyə	gu	ku	---	cù	kwu	ɡɨo
145	292	窶	ku	*ɡroʔ	ɡuo	ɡuə	kɦyə	gu	ku	cũ	cũ	kwu	ɡuo
145	293	衢	ku	*ɡwa	ɡyɑ	ɡuə	kɦyə	gu	ku	cù	cù	kwu	ɡyɑ
145	294	屨	ku	*kroh	kuo	kuə	kyə	ku	ku	---	lủ, củ	kwu	kuo
145	295	來	ku	*rə	lə	ləj		rai	rai	lai, lơi	lai	lai	lə
146	296	功	kugu	*kôŋ	koŋ	kəwŋ		kuu	kou	công	công	kwong	koŋ
146	297	菊	kuku	*kuk	kuk	kuwk	kiwk	kuku	kiku	cúc	cúc	kwuk	kuk
146	298	鞠	kuku	*kuk	kuk	kuwk		kuku	kiku	cúc	cúc	kwuk	kuk
146	299	君	kuni, ku	*kun	kun	kun		kumu	kun	quân	quân	kwun	kun
147	300	訓	kuni, ku	*huns	hunh	xun		kumu	kun	huấn	huấn	kwun	hunh
147	301	忽	kuta	*hmə̂t	huət	xwət		koti	kotu	hôt	hốt	hwol	huət
148	302	骨	kutu	*kût	kuət	kwət		koti	kotu	cốt	cốt	kwol	kuət
148	303	鬼	kwi	*kuiʔ	kuiʔ	kjweiʔ		kuwi	kuwi	quỷ	quỷ	kuy	kuiʔ
149	304	貴	kwi	*kus	kuis	kuj		kuwi	kuwi	quí	quý, quí	kwuy	kuis
150	305	歸	kwi	*kwəi	kui	kuj		kuwe	kuwi	qui	quy, qui	kuy	kui
150	306	紀	kwi	*kəʔ	kɨəʔ	kɨ		ko	ki	kỹ	kỷ, kỉ	kuy	kɨəʔ
151	307	幾	kwi	*kəiʔ	kɨiʔ	kɨj		ke	ki	---	cơ, ky, kỷ	kuy	kɨiʔ
151	308	奇	kwi	*kai or *ɡai	kɨai or ɡɨai	kiə or ɡiə		gi	ki	cả, kỳ	cơ, kỳ	kuy	kɨai or ɡɨai
152	309	記	kwi	*kəh	kɨəh	kɨ		ko	ki	ký, ghi	ký	kuy	kɨəh
152	310	寄	kwi	*kaih	kɨaih	kiə		ki	ki	---	kí, ký	kuy	kɨaih
152	311	綺	kwi	*khaiʔ	khʔaiʔ	khiə		ki	ki	---	khỉ, ỹ	kuy	khʔaiʔ
152	312	騎	kwi	*ɡaih	ɡɨɑih	ɡiə	kɦi	gi	ki	kỵ	kì, kỳ, kỵ	kuy	ɡɨɑih
153	313	機	kwi	*kəi	kɨi	kɨj	ki	ke	ki	cơ	cơ	kuy	kɨi
153	314	基	kwi	*kə	kɨə	kɨ	ki	ko	ki	cơ	cơ	kuy	kɨə
153	315	己	kwi	*kəʔ	kɨə	kɨ	ki	ko	ki	kỷ	kỷ, kỉ	kuy	kɨə
153	316	既	kwi	*kəts	kɨs > kɨj	kɨj	ki	ke	ki	---	ký, kí	kuy	kɨs > kɨj
154	317	氣	kwi	*khə(t)s	kɨs > kɨj	khɨj	khi	ke	ki	khí	khí	kuy	kɨs > kɨj
154	318	木	kwi	*môk	mok	məwk		moku	moku	mộc, mọc, mốc	mộc	mwok	mok
155	319	城	kwi	*ɡeŋ	dźeŋ	dʑiajŋ		ziyau	sei	thành	thành	syeng	dźeŋ
156	320	黄	kwi	*wâŋ	ɣuaŋ	ɣwaŋ		wau		hoàng	hoàng, huỳnh	hwang	ɣuaŋ
156	321	樹	kwi	*doʔ	dźoʔ	dʑuə		ziu	siu	---	thụ	syu	dźoʔ
156	322	胡	kwo	*kâʔ	kɑʔ > kɔ	kɔ		ko	ko	cổ	cổ	kwo	kɑʔ > kɔ
157	323	觚	kwo	*kwâ	kua > kuɔ	kɔ		ko	ko	---	cô	kwo	kua > kuɔ
157	324	高	kwo	*kaw	kau	kaw		kau	kau	cao	cao	kwo	kau
159	325	固	kwo	*kâh	kɑh > kɔ	kɔ		ko	ko	có	cố, cổ	kwo	kɑh > kɔ
159	326	故	kwo	*kâh	kɑh > kɔ	kɔ		ko	ko	cố	cố	kwo	kɑh > kɔ
160	327	庫	kwo	*khâh	khɑh	khɔ		ko	ko	khố, kho	khố	kwo	khɑh
160	328	祜	kwo	*ɡâʔ	ɡɑʔ > ɡɔʔ	ɣɔ		go	ko	---	hộ	hwo	ɡɑʔ > ɡɔʔ
160	329	枯	kwo	*khâ	khɑ > kɔ	khɔ		ko	ko	khô, gỗ	khô	kwo, kwu	khɑ > kɔ
160	330	姑	kwo	*kâ	kɑ > kɔ	kɔ	kuə	ko	ko	cô	cô	kwo	kɑ > kɔ
161	331	孤	kwo	*kwâ	kuɑ > kuɔ	kɔ	kuə	ko	ko	cô, co	cô	kwo	kuɑ > kuɔ
161	332	顧	kwo	*kâʔ	kɑh > kɔ	kɔ	kuə	ku	ko	cố	cố	kwo	kɑh > kɔ
162	333	胡	kwo	*ɡâ	ɡɑ > ɡɔ	ɣɔ	xɦuə	go	ko	hò, hồ	hồ	hwo	ɡɑ > ɡɔ
162	334	子	kwo	*tsəʔ	tsiəʔ	tsɨ		si	si	tí, tử, gã	tí, tử	co	tsiəʔ
162	335	兒	kwo	*ŋe	ńe	ɲiə		ni	zi	nhi, SV: nhi		o, yey	ńe
163	336	小	kwo	*sewʔ	siauʔ	siaw		seu	seu	tĩu, tiểu	tiểu	sywo	siauʔ
164	337	籠	kwo	*rôŋ(ʔ)	loŋ(h)	ləwŋ(h)		ru	rou	lung, lồng, trông	lung	rong	loŋ(h)
164	338	粉	kwo	*pənʔ	punʔ	punʔ		fumu	fun	phấn	phấn	pun	punʔ
164	339	奚	kye	*ɡê	ɡe	ɣɛj		gei	kei	hề	hề	hoi, hyey	ɡe
165	340	祁	kye	*ɡri	ɡɨ	ɡji		gi	ki	kì	kỳ, kì	kuy	ɡɨ
166	341	家	kye	*krâ	ka	kaɨ		ke	ka	gia, nhà	gia	ka	ka
167	342	計	kye	*kîh	keih	kɛj		ke	kei	kễ, kẽ, kê	kế	kyey	keih
167	343	鷄	kye	kê	ke	kɛj		ke	kei	ke	kê	kyey	ke
168	344	介	kye	*krê(t)s	kɛs	kăih		kai, ke	ka	giới	giới	kay, kal	kɛs
169	345	谿	kye	*khê	khe	khiei		ke	kei	khê, khe	khê	kyey	khe
169	346	價	kye	*krâh	kah				ka	giá	giá	ka	kah
169	347	賈	kye	*krâh	kah				ka	giá	giả	ka, kwo	kah
169	348	結	kye	*kît	ket	kɛt		keti	ketu	kết, kiết, cứt	kết	kyel	ket
170	349	係	kye	*kêh or *ɡêh	keh or ɡeh	kɛj or ɣɛj		ke	kei	hễ, hệ	hệ	kyey, hyey	keh or ɡeh
170	350	稽	kye	*kî or *khîʔ	kei or kheiʔ	kiei	kjiaj	ke	kei	ghe	kể	kyey	kei or kheiʔ
170	351	啓	kye	*khîʔ	kheiʔ	khieiʔ	khjiaj	kei	kei	khải	khải	kyey	kheiʔ
171	352	溪	kye	*khê	khe	khiei		ke	kei	khê, khe	khê	kyey	khe
171	353	異	kye	*ləkh	jəh	jiɨh		i	i	dị	dị, rị	i	jəh
171	354	兼	kyemu	*kêm(s)	kem(h)	kiem(h)		kemu	kemu	kiêm, kem, kèm	kiêm	kyem	kem(h)
171	355	監	kyemu	*krâm	kam	kam		kemu	kamu	giám	giam, giám	kam	kam
172	356	M	kyemu	*hŋramʔ	hɨamʔ or hɨamʔ	xjämʔ, xjɐmʔ		kemu	kemu	hiểm, hiếm, hẻm	hiểm	hem	hɨamʔ or hɨamʔ
173	357	馬	ma	*mrâʔ	maʔ	maʔ		me	ba	mã	mã	ma	maʔ
173	358	流	ma	*mrâi	mai > ma	ma		ma	ba	ma	ma	ma	mai > ma
174	359	末	ma, matu	*mât	mat	mwât		mati, matu	batu	mạt, mượt	mạt	mal	mat
174	360	昧	ma	*m̂s	məs	mwậih		mai	bai	mụi	muội	moy	məs
176	361	滿	ma	*mânʔ	manʔ	mwânʔ		mamu	ban	mãn, mởn	mãn	man	manʔ
176	362	莫	ma, maku	*mâk	mak	mâk		maku	baku	mạc	mạc	mak, mwo	mak
177	363	明	ma	*mraŋ	mɨaŋ	mjɐŋ		miyau	mei	minh, miêng	minh	myeng	mɨaŋ
177	364	磨	ma	*mâi	mɑi > ma	mwâ		ma	ba	mài	ma, mạ	ma	mɑi > ma
177	365	萬	ma, mani	*mâns	muɑnh	mjwɐnh		mamu	ban	vạn, vàn	vạn	man	muɑnh
178	366	摩	ma	*mâi	mɑi > ma	mwâ		ma	ba	---	ma	ma	mɑi > ma
179	367	麼	ma	*mai	mɨɑi > mɨe	mje	mba	ma	ba	ma, mô	mả	ma	mɨɑi > mɨe
180	368	魔	ma	---	---	ma		ma	ba	ma	ma	ma	---
180	369	莽	ma	*mâŋʔ	mɑŋʔ	mwâŋʔ		mau	bau	mãng, mảng	mãng	mang, mwo, mwu	mɑŋʔ
180	370	間	ma	*krên	kɛn	kăn		kemu	kan	gian, gián, dán	gian, gián, dan	kan, ken, han	kɛn
181	371	目	ma	*muk	muk	mjuk		moku	boku	mục	mục	mwok	muk
181	372	信	ma	*sins	sinh	sjenh		simu	sin	tin, tín	tín	sin	sinh
181	373	鬼	ma	*kuiʔ	kuiʔ	kjweiʔ		kuwi	kuwi	quỷ	quỷ	kuy	kuiʔ
182	374	眞	ma	*tin	tśin	tśjen		simu	sin	chân	chân	cin	tśin
182	375		ma	---	---	---		---	---	---	---	---	---
182	376	望	maga, magu	*maŋ	muaŋ	mjwaŋ		mau	bau	vọng	vọng	mang	muaŋ
183	377	幕	maku	*mâk	mak	mâk		maku	baku	---	mạc, mộ	mak	mak
183	378	米	me	*mîʔ	meiʔ	mieiʔ		mai	bei	mễ, mẽ	mễ	myey	meiʔ
184	379	梅	me	*mê or *mêʔ	mə	mwậi		mai	bai	mai	mai	moy	mə
184	380	迷	me	*mî	mei	miei		mai, mei	bei	mê	mê	mi	mei
185	381	昧	me	*mə̂s	məs	mwậih		mai	bai	mụi	muội	moy	məs
185	382	毎	me	*m̂ʔ	məʔ	mwậiʔ		mai	bai	mỗi	mỗi	moy	məʔ
186	383	妹	me	*mə̂s	məs	mwậi		mai	bai	---	muội	moy	məs
186	384	目	me	*muk	muk	mjuk		moku	boku	mục	mục	mwok	muk
187	385	眼	me	*ŋr̂nʔ	ŋɛnʔ	ŋănʔ		gemu	gan	nhan, nhãn, nhởn	nhãn, nhỡn	an	ŋɛnʔ
187	386		me	---	---	---		---	---	---	---	---	---
187	387	比	mi	*meʔ	mieʔ	mjieʔ		mi	bi	---	di, ri, nhĩ	mi	mieʔ
188	388	美	mi	*muiʔ	mɨʔ	mjiʔ		mi	bi	mỹ, mỉ, mẻ	mĩ	mi	mɨʔ
190	389	瀰	mi	*meʔ	mieʔ	mjieʔ	mbji	mi	bi	---	mễ, ri	mi	mieʔ
190	390	民	mi	*min	min	mjien		min	bin	dân	dân	min	min
190	391	弭	mi	*meʔ	mieʔ	mjieʔ		mi	bi	nhẹ	mễ, nhị	mi	mieʔ
191	392	寐	mi	*mis	mis	mih		mi	bi	mị	mị	pi	mis
191	393	湄	mi	*mui	mɨ	mji		mi	bi	mưa	mi	mi	mɨ
191	394	三	mi	*ŝm	sam, səm	sâm		samu	san	tam	tam	sam	sam, səm
192	395	御	mi	*ŋah	ŋɨah	ŋjwoʔ		go	gyo	ngự, ngợ	ngự	a, e	ŋɨah
192	396	見	mi	*kêns	kenh	kienh		kemu	ken	kiến	kiến	kyen	kenh
193	397	水	mi	*lhuiʔ	tśuiʔ or śuiʔ	świʔ		suwi	sui	thủy	thuỷ	swu	tśuiʔ or śuiʔ
193	398	參	mi	*tsĥm	tshəm	tshậm		samu	san	tham, sâm	tham	sam, cham, som, chom	tshəm
193	399	視	mi	*ɡiʔ	ɡiʔ, ɡih	źiʔ, źih		zi	si	thị	thị	si	ɡiʔ, ɡih
194	400	敏	minu	*mə̂ʔ	mɨənʔ	mj(w)en		min	bin	mẫn, mẩn	mẫn	min	mɨənʔ
194	401	母	mo	*məʔ	məʔ	məu		mo, mu	bou	mẫu	mẫu	mwu	məʔ
195	402	文	mo	*mən	mun	mjwən		momu	bun	văn	văn	mwun	mun
196	403	梅	mo	*mê or *mêʔ	mə	mwậi		mai	bai	mai	mai	moy	mə
196	404	望	mo	*muh	muh	məuh		mu	bou	mậu	mậu	mwu	muh
196	405		mo	*maŋ	muaŋ	mjwaŋ		mau	bau	vọng	vọng	mang	muaŋ
197	406	暮	mo	*mâkh	mah	muoh		mo	bo	mộ, mô	mộ	mwo	mah
197	407	慕	mo	*mâkh	mah	muoh		mo	bo	---	mộ	mwo	mah
198	408	莽	mo	*mâʔ	mɑʔ	muoh		mau	bau	mãng, mảng	mãng	mang, mwo, mwu	mɑʔ
198	409	謀	mo	*mə	muə > mu	mjəu		mu	bou	mưu	mưu	mwo, mwu	muə > mu
199	410	墓	mo	*mâkh	mah	muoh		mo	bo	mộ, mồ	mộ	mwo	mah
199	411	聞	mo	*mə	mən	mwən		momu	bon	muốn, mụn	muộn	mwun	mən
199	412		mo	*mən	mun	mjwən		momu	bun	văn	vắn	mwun	mun
200	413	忘	mo	*maŋ	muaŋ	mjwaŋ		mau	bau	vong	vong	mang	muaŋ
200	414	蒙	mo	*môŋ	moŋ	muŋ		mou	bou	mong, mỏng	mông	mwong	moŋ
200	415	門	mo	*mên	mən	mwən		momu	bon	mon, môn	môn	mwun	mən
201	416	問	mo	*məns	munh	mjwənh		momu	bun	vắn, vặn, vấn	vấn	mwun	munh
201	417	勿	mo	*mət	mut	mjwət		moti	butu	vất	vật	mwul	mut
201	418	畝	mo	*m̂ʔ~*môʔ	məʔ~moʔ	məuʔ		mo	bou	mẫu, mẩu	mẫu	mwu	məʔ~moʔ
201	419	物	mo, moti, moto	*mət	mut	mjwət		moti	butu	vắt, vật	vật	mwul	mut
202	420	裳	mo	*djaŋ	dźaŋ	źjaŋ		ziyau	siyau	---	thường	syang	dźaŋ
202	421	藻	mo	*tsâuʔ	tsauʔ	tsâuʔ		sau	sau	tảo	tảo	cwo	tsauʔ
203	422	喪	mo	*sâŋ	saŋ	sâŋ		sau	sau	tang, táng	tang, táng	sang	saŋ
203	423	哭	mo	*khôk	khok	khuk		koku	koku	khóc	khốc	kwok	khok
203	424	裙	mo	*ɡwən	ɡun	ɡjwən		gun	kun	quần	quần	kwun	ɡun
203	425	木	moko, mo	*môk	mok	muk		moku	boku	mộc, mọc, mốc	mộc	mwok	mok
204	426	没	moto	*mə̂t	muət	mwət		moti	botu	một	một	mwol	muət
204	427	國	mu	*mu	mu	mjəu		mu	bou	mầu, màu, mào	mâu, mầu	mwo, mwu	mu
205	428	武	mu	*maʔ	muaʔ	mjuʔ		mu	bu	vũ, võ	vũ	mwu	muaʔ
207	429	模	mu	*mâ	ma	muo		mo	bo	mo, mu, mua	mô	mwo	ma
207	430	無	mu	*ma	mua	mju		mu	bu	vô	vô	mwu	mua
208	431	无	mu	*ma	mua	mju		mu	bu	vô	vô	mwu	mua
208	432	務	mu	*moh	muoh	muə		mu	bu	vụ, mùa	vụ	mwu	muoh
208	433	霧	mu	*moh	muoh	mjuh		mu	bu	vụ	vụ	mwu	muoh
209	434	夢	mu	*məŋ	muŋ	mjuŋ		mu, mumu	bou	mòng, mồng	mông, mộng	mwong	muŋ
209	435	謀	mu	*mə	muə > mu	mjəu		mu	bu	mưu	mưu	mwo, mwu	muə > mu
209	436	鵡	mu	*maʔ	muaʔ	mjuʔ		mu	bu	vũ, vọ	vũ	mwu	muaʔ
210	437	儛	mu	*maʔ	muɑʔ	muə		mu	bu	---	vũ	mwu	muɑʔ
210	438	茂	mu	*muh	muh	məuh		mu	bou	mậu	mậu	mwu	muh
210	439	六	mu	*ruk	liuk	ljuk		roku	riku	lục	lục	lwuk	liuk
210	440	身	mu	*lhin	śin	śjen		simu	sin	thân	thân	sin	śin
211	441		mu	---	---	---		---	---	---	---	---	---
211	442	目	muku	*muk	muk	mjuk		moku	boku	mục	mục	mwok	muk
211	443	未	mwi	*məs	mus	mjweih		mi	bi	mùi	mùi, vị	mi	mus
212	444	味	mwi	*məs	mus	mjweih		mi	bi	mùi, vị	vị	mi	mus
213	445	微	mwi	*məi	mui	mjwei		mi	bi	vi	vi	mi	mui
213	446	尾	mwi	*məiʔ	muiʔ	mjweiʔ		mi	bi	vĩ, vã, vải	vĩ	mi	muiʔ
214	447	身	mwi	*lhin	śin	śjen		simu	sin	thân	thân	sin	śin
214	448	實	mwi	*m-lit	źit	dźjet		ziti	situ	thật, thiệt	thực	sil	źit
214	449	箕	mwi	*kə	kɨə > kɨ	kjɨ		ki	ki	kia, kìa	ki	kuy	kɨə > kɨ
214	450	密	mwi(tu)	*mrit	mɨt	mjet		miti	bitu	mật	mật	mil	mɨt
215	451	模	mwo	*mâ	ma > mɔ	muo		mo	bo	mo, mô, mu	mô	mwo	ma > mɔ
215	452	謨	mwo	*mâʔ	ma > mɔ	muo		mo	bo	mo, mô	mô	mwo	ma > mɔ
215	453	毛	mwo	*mâu	mau	mâu		mou	bou	mao, mau	mao	mwo	mau
216	454	賣	mye	*mrêh	mɛh	maɨh		mai	bai	mại	mại	may	mɛh
218	455	咩	mye	---	---	miə		miya, mii, mei	---	me	---	mi	---
219	456	馬	mye	*mrâʔ	maʔ	maʔ		me	ba	mã	mã	ma	maʔ
219	457	面	mye	*mens	mianh	mjiän		memu	ben	diện	diện, riện	myen	mianh
220	458	迷	mye	*mî	mei	miei		mei	bei	mê	mê	mi	mei
220	459	謎	mye	*mîh	meih	mieih		mai, mei	bei	mê	mê	mi	meih
220	460	綿	mye	---	mian	mjiän		men	ben	mên, men, min	miên	myen	mian
220	461	明	mye	*mraŋ	mɨaŋ	mjɐŋ	miajŋ	miyau	mei	minh, miêng	minh	myeng	mɨaŋ
221	462	女	mye	*nraʔ	ṇiaʔ	ṇjwoʔ		nyo	dyo	nữ, nớ, nợ, nữa	nhữ, nữ, nứ	nye	ṇiaʔ
221	463	N	mye	*bəʔ	buʔ	bjəuʔ		bu	fuu	phụ, vợ	phụ	pwu	buʔ
222	464	奴	na	*nâ	nɑ	nuo		nu	do	nô, no, nó	nô	nwo	nɑ
222	465	那	na	*nâi	nɑi > nɑ	nâ		na	da	na, ná, nả, nà	na, ná, nả	na	nɑi > nɑ
223	466	難	na, nani	*nân	nɑn	nân		namu	dan	nan, nạn, nàn	nan, nạn	nan	nɑn
224	467	乃	na	*nə̂ʔ	nəʔ	nậiʔ		nai	dai	nảy	nãi	nay	nəʔ
224	468	奈	na	*nâs	nɑs > nɑi	nâih		nai	dai	nài, nại, nạy	nại, nai	nay	nɑs > nɑi
225	469	儺	na	*nâi	nɑi	nâ		na	da	---	na	na	nɑi
225	470	娜	na	---	---	na		na	da	na, nạ	nã	na	---
227	471	寧	na	*nêŋ	neŋ	nieŋ	niajŋ	niyau	nei	ninh	ninh	nyeng	neŋ
227	472	名	na	*meŋ	mieŋ	mjiäŋ		myau	mei	danh, ranh	danh	myeng	mieŋ
228	473	魚	na	*ŋa	ŋɨɑ	ŋjwo		go	gyo	ngư, ngơ	ngư	e	ŋɨɑ
228	474	中	na	*truŋ	ṭuŋ	tjuŋ		tiu	tiu	trung, truông	trung, trúng, trọng	cyung	ṭuŋ
228	475	菜	na	*tsĥh	tshəh	tshậih		sai	sai	---	thái	choy	tshəh
228	476	七	na	*tshit	tshit	tshjet		siti	situ	thất	thất	chil	tshit
229	477	莫	na	*mâkh	mah	muoh		maku		mạc	mạc	mwo, mak, moyk	mah
229	478	嚢	nagi	*nâŋ	naŋ	nâŋ		nau	dau	nang	nang	nang	naŋ
229	479	諾	naki	*nâk	nak	nâk		naku	daku	nặc	nặc	nak	nak
229	480	南	name, nami, namu	*nə	nəm	nậm		namu	dan	nam	nam	nam	nəm
230	481	冉	nami	*namʔ	ńamʔ	ńźjämʔ		nemu	zemu	nhiệm	nhiễm	ngyem	ńamʔ
230	482	尼	ne	*nri or *ni	ṇi or neih	nri		ni	di	ni, nơi, này	ni, nậc, nật	ni, nil	ṇi or neih
231	483	禰	ne	*nêʔ	neʔ	nieiʔ		nei	dei	né, nẽ	nễ	nyey	neʔ
232	484	泥	ne	*nîʔ or *nîh	neiʔ, neih	nieiʔ, nieih		nei	dei	nê, nề, nễ, nè	nê, nệ	ni	neiʔ, neih
232	485	埿	ne	*nîʔ or *nîh	neiʔ, neih	nieiʔ, nieih		nei	dei	---	---	ni	neiʔ, neih
234	486	年	ne	*nîn	nen	nien		nemu	den	nên	niên	nyen	nen
234	487	涅	ne	*nît	net	niet		neti	detu	nét, nít, nớt, nứt	nát, niết	nyel, nal	net
234	488	根	ne	*kə̂n	kən	kən		komu	kon	căn, cỗi	căn	kun	kən
235	489	嶺	ne	*rêŋʔ	lieŋʔ	ljäŋʔ		riyau	rei	---	lĩnh	lyeng	lieŋʔ
235	490	念	nemu	*nîms	nemh	niemh		nemu	demu	niệm.	niệm	nyem	nemh
235	491	和	ni	*neʔ	ńeʔ	ńźjeʔ		ni	zi	nĩ	nhĩ	i	ńeʔ
236	492	貳	ni	*nis	ńis	ńźih		ni	zi	nhì, nhẹ	nhị	i	ńis
238	493	二	ni	*nis	ńis	ńźih		ni	zi	nhì, nhẹ	nhị	i	ńis
238	494	仁	ni, nini	*nin	ńin	ńźjen		nimu	zin	nhân	nhân	in	ńin
239	495	邇	ni	*neʔ	ńeʔ	ńźjeʔ		ni	zi	---	nhĩ	i	ńeʔ
239	496	尼	ni	*nri or *nîh	ṇi, neih	ṇi, nieih	nri	ni	di, diti	ni, nơi, này	ni, nậc, nật	ni, nil	ṇi, neih
240	497	日	ni	*nit	ńit	ńźjet		niti	zitu	nhật, nhựt	nhật, nhựt	il	ńit
240	498	而	ni	*nə	ńə > ńɨ	ńźɨ		ni	zi	nhí	nhi	i	ńə > ńɨ
241	499	耳	ni	*nəʔ	ńəʔ > ńɨʔ	ńźɨʔ		ni	zi	nhĩ	nhĩ	i	ńəʔ > ńɨʔ
241	500	珥	ni	*nəh	ńəh	ńźɨh		ni	zi	nhẹ	nhị	i	ńəh
242	501	儞	ni	*nê	neʔ	nɨʔ	ri	ni	zi	né, nẻ	nhĩ	i	neʔ
243	502	丹	ni	*tân	tan	tân		tamu	tan	đan, đơn	đan, đơn	tan	tan
243	503	荷	ni	*ɡâiʔ	ɡɑiʔ	ɣâʔ		ga	ka	ha, hà	hà, hạ, hả	ha	ɡɑiʔ
243	504	煮	ni	*taʔ	tśɑʔ	tśjwoʔ		sio	sia	---	chử	cye, cya	tśɑʔ
244	505	似	ni	*s-ləʔ	ziəʔ	zɨʔ		zi	si	tợ, tự, tựa	tự	so	ziəʔ
244	506	土	ni	*thâʔ	thɑʔ	thuoʔ		tu	to	thổ	thổ	thwo, twu	thɑʔ
244	507	瓊	ni	*ɡweŋ	ɡyeŋ	ɡjwäŋ		gyau	kei	quỳnh, quềnh	quỳnh	kyeng	ɡyeŋ
245	508	入	nipu	*nup > *nəp	ńip	ńźjəp		nifu	zifu	nhập, nhọp	nhập	ip	ńip
245	509	乃	no	*nə̂ʔ	nəʔ	nậiʔ		nai	dai	nãi, nảy	nãi	nay	nəʔ
246	510	能	no	*nəŋ	nə(ŋ)	nəŋ		no, nou	dou	năng, nưng	năng	nung, nay	nə(ŋ)
